,id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,release_date
1125632,7c3gL4sc9NOk5MpdAy4BYr,Hope,Wandering Mind,5qMURLsA8WlXGwwUmpdnYb,['Nomadic'],['5Wphrm29N2BLcBqZOmRXN5'],8,1,False,0.6890000000000001,0.5710000000000001,4,-11.041,0,0.06,0.0729,0.843,0.0925,0.238,99.993,403200,2019,2019-09-12
948760,3qRqv0CXOuhFXZSe2gYe8s,Future - Mella Dee Remix,Future,2k0rCRazOgA5lNCANlvfS8,"['Breakage', 'Madi Lane']","['68Wb5Pcy71lLaKdIB6cBA5', '2vHt2gQUCx0PVvzmcE0Hx4']",2,1,False,0.718,0.858,9,-7.108,1,0.0534,0.00421,0.784,0.17,0.267,126.991,247412,2015,2015-05-17
891182,7qGj2Tc5kduc41ZrtwQ6S4,Chemicals,Revelation,3Ny6yJSMO4dOsOYtdf4Tr1,['A. J. Roach'],['3udek7LlJkB7KQjhqv4VXT'],5,1,False,0.669,0.264,4,-10.107,1,0.0317,0.88,0.0,0.1009999999999999,0.347,133.87,286307,2008,2008-01-01
791055,2fiMtnc1H20IkuacBfbhRU,Hug You Squeeze You (Live),N2U,5qAc2mg5MsK9JxiELLoUMN,['David Gerald'],['4moPcLPPNrocbonnqUaIZr'],3,1,False,0.452,0.795,9,-8.758,1,0.0497,0.00416,0.00524,0.687,0.833,126.951,247293,2018,2018-04-20
33450,10JtGTLLwi5R2HqiS6gK9r,10 Pièces pittoresques: 10 Pieces pittoresques: No. 9. Menuet pompeux (arr. M. Ravel),Pictures at an Exhibition,22ebsPh85KTTvWmRyGbprc,"['Maurice Ravel', 'Emmanuel Chabrier', 'Minnesota Orchestra', 'Eiji Oue']","['17hR0sYHpx7VYTMRfFUOmY', '7y3p0lS9e0oGcJUOHlF1wk', '3Kc4x6BFeZVfx0mAgnDykn', '0HWPIGRL1eXG4wSwTNlvQN']",8,1,False,0.387,0.159,7,-21.167,0,0.0408,0.903,0.7120000000000001,0.149,0.317,124.981,272467,2012,2012-03-01
15269,1g2YrU4FQ6QxTjFbQnf5h1,Pools Of Eden,Redemption Road,04kH9Wt07t3rVyxoNaZoa1,['Eliza Gilkyson'],['1x2vfyp8dGA84qgwb3D9QG'],1,1,False,0.563,0.6609999999999999,4,-9.474,1,0.0329,0.299,0.0,0.322,0.599,110.03,215453,1997,1997
823678,3GgHZNujQLPZSMU8vOfMJR,Concerto Madrigalesco RV129 for strings and continuo: IV. Allegro molto moderato,Vivaldi: Sacred Works for Soprano and Concertos,5BnmEkQe3oxfJ2qQLCh0G5,"['Antonio Vivaldi', 'Elin Manahan Thomas', 'Florilegium']","['2QOIawHpSlOwXDvSqQ9YJR', '42lAvOjda4aRK629Oqplue', '1p7yUCNCvt3z8Y0DhXQ8Ew']",4,1,False,0.0,0.134,1,-20.473,0,0.0,0.7659999999999999,0.4370000000000001,0.0943,0.0,0.0,70467,2012,2012-03-12
515542,6bCDS9kHjjHwthzOKMREt9,Rissani,Surya's Smile I,7fsU6fZqsajhZQcnpHsRsX,['Kingdom of the Holy Sun'],['7q3rdnv4fCwNxiumFRTXcB'],3,1,False,0.406,0.581,10,-10.327,1,0.0321,6.53e-05,0.557,0.1639999999999999,0.265,139.991,307714,2013,2013-11-03
125562,1NArXz9IT7ejqXpuXNkaO3,At the Races,At The End Of The Evening,7j4MjhQTkaJMl8sipcG1g2,['Nightnoise'],['4YtmmFFu6n1ywx1RR6L5oD'],8,1,False,0.613,0.431,11,-12.114,0,0.0271,0.78,0.401,0.114,0.728,100.394,187440,1988,1988-07-22
361044,2GNHulA1IOuM5CZ0LTpfyZ,Behind the Mask,Flies Will Starve,5NIq65wAAfKAMH4EuPYIg7,['Mumakil'],['35V2PdmNASzJV2MkOhWpZS'],24,1,False,0.408,0.974,11,-5.674,0,0.2189999999999999,2.67e-05,0.213,0.133,0.0789,120.204,124040,2013,2013-06-25
442680,6b17CSxHc6EduoG3tr5Zrr,Laleia,Laleia,1VTx0Zvn6LrQ5RQR2XLERn,['Eggbox'],['3gKn64T5Py3tLPcQvrHhAz'],2,1,False,0.54,0.868,4,-5.848,0,0.0425,0.00185,1.11e-06,0.67,0.62,105.006,245472,2015,2015-03-23
996098,0ScCQvbMX4hVhCWSwinuLv,"Lake Hylia (From ""The Legend of Zelda: Twilight Princess"")","Piano / Instrumental Works: Video Game Themes, Vol. VIII",5hp0lyVFsqwLyR1IdJKyuD,['Michael Tai'],['5NLlq8IzOUuqDYGPxoPkSC'],5,1,False,0.355,0.0297,11,-23.607,1,0.0486,0.986,0.8420000000000001,0.0899,0.0341,123.675,229794,2020,2020-06-01
254756,0o5Vg6hrz0YA7OgOxGO6Om,Toi l'ami,Chansons retrouvées,3CLhlil5sqEwbtWTnJp5iw,['Sylvain Lelièvre'],['5RHfIYR4tzf3LlRXJsN8tH'],1,2,False,0.536,0.472,6,-8.821,1,0.0457,0.8540000000000001,0.0065299999999999,0.103,0.456,96.094,190440,2008,2008-04-08
86950,0myYmSaC7qJhruWXqiGftS,Spell,The Giant Pin,6OVxrCn1RwoxyBl0z35Wn2,['Nels Cline'],['3s6o8vxtYJ1utkWl8EXxUp'],10,1,False,0.2319999999999999,0.259,0,-24.344,0,0.122,0.305,0.501,0.368,0.0759,89.363,562520,2004,2004
382545,2gDQOjN28lXuFlUv9gPE6Z,Syysunelma,(MM) Sydämeni laulut - Juhlavuosi 2003,6Ar0N4mYAPLoF61FToBmaZ,['Katri Helena'],['2IfvzNKtnV8PTAh7H6ZVfv'],2,1,False,0.5529999999999999,0.409,10,-13.005,1,0.0292,0.8009999999999999,0.00242,0.0999,0.43,96.595,162533,2003,2003-09-15
206079,1kQtmkiOVpYs1bTFOmkKos,Movement,Awaken,6fiXTXUGKITd1Z5rYQ1qoN,['Isaac Shepard'],['1DwN9SgcUTscLOl70fwS7b'],3,1,False,0.528,0.0537,2,-18.684,1,0.0402,0.988,0.8690000000000001,0.109,0.0652,110.044,209944,2010,2010-08-01
69465,0JPSGHQFV7pggDy3t5r38b,Ca Y Est,Nu,1ZyCyeB3HghV0bm5giF7rl,['Edie'],['5PysFIogWv27aGQREziTwm'],6,1,False,0.501,0.3339999999999999,11,-10.23,0,0.0625,0.917,0.0074099999999999,0.2319999999999999,0.4479999999999999,200.478,184107,2004,2004-10-27
236351,7yLTTLI4YdsNZcsUfJ7wFG,Beetleguile,Hosemusik,6eLVWJ18v9YhbJqNiK9GCr,['Lederhosen Lucil'],['1Z37d31vjes5IvCwP7xYTR'],7,1,False,0.669,0.726,9,-8.981,1,0.0363,0.0968,5.539999999999999e-05,0.17,0.945,78.531,141600,2002,2002
119092,4tf8l1bRWJp1f0GV2Vmdjs,Eva Mendes,Paparazzi,5e5Zu9uJ4pCb4Kky6oqGID,['The Celebrities'],['4L9NSXWWEjA6cvHno1F6ZN'],3,1,False,0.659,0.7340000000000001,1,-4.962,1,0.198,0.00122,0.0154,0.2319999999999999,0.507,140.07,236573,2008,2008-02-08
23663,4GRiiCPfiJebEt7GhJ56iF,On the Bridge,Black Dream,4H8oPNML44iMPlgOn1S9PQ,['Dangermaker'],['7uDYjd0MCgrBPqy2lgU8Jy'],5,1,False,0.487,0.94,4,-2.524,0,0.0372,4.58e-05,0.43,0.412,0.5870000000000001,133.042,170982,2014,2014-03-13
1034592,2oAVKRiMd5wkMEXZrFTGWm,Chahar Shanbe Souri,Norouz and Persian Spring,7HR4gT2I1soSD9YxHS25Nq,"['Sadegh Alishahi', 'Ahmad Tavakoli']","['5xSWC32cxashLE9KDU0qLF', '2dMCGOuJE2wHTP1IOUkkOD']",12,2,False,0.3829999999999999,0.47,2,-10.511,0,0.0388,0.994,0.198,0.3670000000000001,0.8540000000000001,81.016,216733,2019,2019-03-13
898207,3SSqUeNtvTqxUzjEOxH3u1,Daughter Of The Night - Live Version,Viva Santana!,390nrhMIPEmBPnqN36GDaZ,['Santana'],['6GI52t8N5F02MxU0g5U69P'],10,2,False,0.613,0.7559999999999999,4,-11.942,0,0.0362,0.203,0.00208,0.461,0.927,125.699,290707,1988,1988-10-04
544139,3elJbjdsrFOYcmYP3yx3IX,Es Por Demás,Las Hermanas Padilla Con el Marichi Vargas de Tecatitlan los Exitos,75pM8GCCJmTSA4gewRL5ri,['Las Hermanas Padilla'],['2PvsDSuPlWMsCnMcdnQzAZ'],2,1,False,0.619,0.4639999999999999,7,-8.743,1,0.0294,0.586,5.629999999999999e-05,0.0459,0.967,129.18200000000002,154413,2010,2010-01-01
540823,4usnCQRmtpByAPPt9xdEVx,The Love Within,Serene Healing,2CuHqjkHEIfaPJBjpnxcPN,['Ken Townshend'],['6meuligfJ5ZNj1mwCVfcuO'],9,1,False,0.391,0.0595,6,-28.21,1,0.071,0.994,0.943,0.0757,0.207,126.088,372880,2006,2006-01-12
465063,01AGAwVRJ1qEYhbQaEikC3,Windmill,So We Are Alive,5LHHr9HJ9ICbRVuvAcdEKq,['Tartufi'],['3j8IGBam5zpsyhPC4aDXAs'],2,1,False,0.253,0.7190000000000001,0,-6.464,1,0.0386,0.135,0.424,0.15,0.195,168.53,334573,2006,2006-03-05
1038520,3uim0knfvn0TzH8iYx6o5i,Using Your Imagination,Imagine That,2s0aQD7L9q2Jy4KQq00YFk,['Monty Harper'],['66z8hGVbduE6jpBAHY7Eql'],7,1,False,0.779,0.503,7,-13.334,1,0.0305,0.409,1.26e-05,0.0939,0.8009999999999999,91.806,213800,1996,1996-01-01
1118158,0zZKl5xeWIF0Qp484Yn2if,Go To,Red Harvest,7w8nf3MQFTzqKfYEpcZukd,"['Munchie B', 'Ethi']","['3EkPBqAGQgIxlfgUMxuaQM', '3dN94vIPW6CPhNFoV9gObW']",2,1,True,0.7609999999999999,0.526,10,-9.876,0,0.161,0.0244,0.0,0.0994,0.322,81.507,237632,2020,2020-09-02
498718,3AP1gfJaBuSMT8dVQEbJsy,Drown,Logic & Loss,1ao2RiOECNfPoQf6kdlaqt,['Pushover'],['70ucwKbI4yNg0dbMDOq3wL'],11,1,False,0.551,0.976,2,-4.928999999999999,1,0.108,0.000287,0.0037799999999999,0.171,0.446,133.002,214587,2000,2000
776848,0sDbcan3siAc2l2wCWzpTo,Ready To Pop Off - NuKid Remix,Hi8 Remixed,1yzOXmJJAmcyhCp6FlYJzr,"['AC Slater', 'Young Lyxx', 'NuKid']","['6EqFMCnVGBRNmwPlk2f3Uc', '1KaPSJ1xlpywMSGiK1Qftk', '1VV86JiVdv8JodqySpTq4R']",5,1,False,0.903,0.597,9,-6.579,1,0.063,0.00297,0.0196,0.0606,0.441,128.031,226000,2020,2020-04-03
365584,16iA4L1h3ovgNz9dl7yaCF,1st Sex,Fifty Shades Darker (Original Motion Picture Score),7ubzIf7FyjFhMBIdkm0zYD,['Danny Elfman'],['5qBZETtyzfYnXOobDXbmcD'],8,1,False,0.23,0.0829,7,-26.378,1,0.0455,0.984,0.964,0.089,0.115,93.247,56547,2017,2017-02-17
754304,6rTlddP8rb24ru9sGxgy7l,The Hunt,Grimoire,0U5ISDMUvQePMCply94KHq,['Valhall'],['4PRz1NoXljrabtpfxY3cSP'],7,1,False,0.631,0.882,1,-6.575,0,0.121,0.195,0.00649,0.0651,0.573,173.217,233434,2018,2018-02-09
684087,53tJebUkblA6Neoqpda9fQ,Patience,Sullivan: Gilbert and Sullivan Overtures,32f85DPnymSepdd0fgo1z6,"['Arthur Sullivan', 'Royal Ballet Sinfonia', 'Andrew Penny']","['1jK7F6jheJ08CowHGDW6IN', '7KNaVtiiNyzd1d71TqMBbr', '4hwKl6LaXGgwDGJIx9k1r6']",5,1,False,0.316,0.0558,3,-24.765,1,0.0509,0.967,0.85,0.26,0.121,74.101,332893,1998,1998-06-30
68224,4gh3fWw1JeBnD2ZV9SjjKD,Scuttle Buttin',The Real Deal: Greatest Hits Volume 2,2SYJxEVYF7yzxEf2Ncymi1,['Stevie Ray Vaughan'],['5fsDcuclIe8ZiBD5P787K1'],3,1,False,0.32,0.7090000000000001,8,-10.543,1,0.0321,5.15e-05,0.705,0.0655,0.855,79.991,111560,1983,1983
1093833,2mEUeRZcvICXD1ePeysixW,Colder,F.I.F.T.H,5ey4HhtMH5mmwbKsbmm6Ev,"['DW FLAME', 'Azjah']","['1aQRe18EFgH0nxSm9bmo4v', '3VFIf5Tn1WYGKodgtyVwjL']",13,1,True,0.54,0.611,9,-9.631,0,0.395,0.0313,0.0,0.165,0.488,129.666,172960,2020,2020-09-05
238688,4Gd3N1h6NXQPQvYKnBkfTB,More Love To Thee,Fernando Ortega,0ZNLCUFpRBHGqcjscbFhy5,['Fernando Ortega'],['6mGZXaZ4SWNh6IsJ57thCp'],12,1,False,0.281,0.121,7,-16.708,1,0.0565,0.986,0.0004179999999999,0.107,0.265,205.919,188107,2004,2004-08-10
877608,0bOUtkUBYu5cPZpsfUyiKz,Jeu vidéo,Désherbage,0L8AInBEcRhyhM75A7s8xf,['Tire Le Coyote'],['0IC1NWkemYHVzpF7gISLku'],10,1,False,0.585,0.361,8,-9.986,1,0.039,0.8859999999999999,9.65e-05,0.0963,0.258,113.547,272369,2017,2017-09-22
662115,1KAn0jQIaB6OGfsx536A5f,Pembrooke Clarke,Greenroom,4Z8ltC1B8CQNQaXFjKyZIz,['Robbie Tucker'],['44MJib1sIiMbMz1oeV2Ppd'],11,1,False,0.765,0.3289999999999999,3,-10.303,1,0.0354,0.614,2.82e-06,0.126,0.755,107.861,117227,2007,2007-08-09
1158103,3njhy8YP6aGPEO4cqWKBLL,Он не придет,Причины,3Vzl6M0pjWsOUO3m4v1Tf4,['Ольга Серябкина'],['1Hd2ZcCOUCR5U1xDTbpDv8'],3,1,False,0.7140000000000001,0.818,1,-8.945,0,0.083,0.608,0.00827,0.11,0.428,116.97,168205,2020,2020-05-01
252852,3P3koXQTgMvEXWcXMa1aCn,Your Love Is Like A Cancer,Deluxe Edition,3koZiy03TZtXMIdhIX3OfL,['Son Seals'],['0phMS1UDPTZlxuEnarDUKt'],8,1,False,0.706,0.7440000000000001,11,-7.327000000000001,0,0.035,0.0292,5.379999999999999e-05,0.0687,0.966,147.714,273533,2002,2002
111159,3ehfoXehJjNEeLlCnFd5pp,March Of The Latin Zombies,Five Alarm Funk,4LmxLA5YOIIu7NQnEPdwik,['Five Alarm Funk'],['34BHw3ZxeQsZ2yYxoummp7'],7,1,False,0.519,0.828,5,-6.394,0,0.0727,0.022,0.8440000000000001,0.1009999999999999,0.537,143.701,407453,2006,2006
683539,6nYlOXHJ7YP26MdzBtzsjk,I'll Be Your Lover (But I Can't Be Your Baby),Do You Want Power,7yjfnUvZ57KuvopJu45yEe,['The Ettes'],['36uILERdKxVBBY2TNs4lxw'],7,1,False,0.2319999999999999,0.773,8,-6.982,0,0.0592,0.00893,0.088,0.13,0.371,163.195,129293,2009,2009-09-29
1042336,0n0hXHKXYBqTdE3CV5DIfB,Squeeze,Let Love In,7GNoUGs5aIiqKnRQQlqOdR,['Ayla Brown'],['3phYNRV3OzxZYGDPaZWpIY'],4,1,False,0.495,0.64,7,-7.1679999999999975,1,0.0326,0.0194,0.0,0.133,0.7070000000000001,168.12,207267,2015,2015-05-04
14946,77xl3ey0ivTX4gvUXf2MKT,The Outernationalist - Rewound By Thievery Corporation,Babylon Rewound,4r1487uzV9D3N1sEhxWeSZ,['Thievery Corporation'],['25KNo5GDS6ZpLkjasaecA3'],3,1,False,0.762,0.634,6,-9.705,0,0.0583,0.1119999999999999,0.29,0.11,0.6709999999999999,136.029,203933,2004,2004-11-03
937420,6ORQF9DGVOuo6D9BR6ItDN,What Did I Do?,All Night Long,1oGzBfzVXlrfbEreGrX4nB,['Byther Smith'],['6xvCAutMGoKknAWPv0tnxR'],8,1,False,0.608,0.818,9,-6.899,0,0.0327,0.3229999999999999,5.04e-05,0.0776,0.961,115.407,321227,1997,1997-01-01
39595,3v0UfyOvNkqg0dM5ZlhM63,carousel,Levitate,51ZavfnH4MLcg5IRXjpkUU,['Idaho'],['5lQ9ygSr6WMqXYsG00nNNY'],9,1,False,0.252,0.0697,1,-27.522,0,0.048,0.995,0.906,0.0867,0.143,128.143,103920,2001,2001-01-01
645488,26STRCXfiN0XKR8akxQvI9,One Magical Moment,12 Rounds,7GqCkvV9ItnPER6mHL2WfE,['Nina Forsberg'],['0OIbWDqiHC5LzQe3SEPDVl'],4,1,False,0.581,0.7809999999999999,0,-7.074,1,0.0369,0.0144,1.9e-05,0.162,0.352,140.398,271160,1998,1998-03-26
619624,0GtOVTO3EzeLCqyYff43N2,In Fire,Ultramarine,7xxWcWplCXcMir3wx7Na90,['Young Galaxy'],['5xfJLyvC5UElVSiMuLt1ss'],8,1,False,0.6859999999999999,0.8079999999999999,5,-7.38,0,0.0289,0.00521,0.58,0.1889999999999999,0.8420000000000001,146.009,269067,2013,2013-04-23
503276,32RJA2n0m41nucUi05KK3h,10 Minutes Till Closing,"Sun Pictures (feat. Ben Wendel, James Muller & Ted Poor)",63SnkyzAHI894qnPXq9tua,['Linda Oh'],['3ItwOheFhoNjZRCpnY5O9I'],7,1,False,0.526,0.188,8,-16.873,1,0.0562,0.79,0.6970000000000001,0.11,0.433,79.189,480840,2013,2013-08-27
151315,3GH1lHwLLnAXHSUuacoFjZ,On This Christmas Night,Something of My Own (2nd Printing),2lsuYq1tnEPRPuu7bUfDMi,['Marina V'],['0H5vwQw72QBnbcyBYnx97P'],11,1,False,0.315,0.211,4,-10.808,1,0.0329,0.977,2.23e-05,0.113,0.1009999999999999,85.54799999999999,274027,2003,2003-01-01
103847,4qaSJsaoIDPff9sWhs488L,Three Divertimenti: III. Burlesque,Tchaikovsky / Britten: String Quartets,3PteSNw1UPfEwd30BXHVB5,"['Benjamin Britten', 'Brodsky Quartet']","['7MJ1pB5d6Vjmzep2zQlorn', '4H0zGQILA7vJKl0ot2OYBf']",7,1,False,0.428,0.192,7,-19.673,1,0.0571,0.973,0.0793,0.114,0.335,152.88,206067,2007,2007-07-15
421926,33PoJk8lgkCxHFv2R9Xygs,Tumbalalaika,Vanderlust,3aT8nxnACafGKTRttS2jQ4,['Nikitov'],['1AFHzuQdBsPQ8y21jKvKPH'],14,1,False,0.6729999999999999,0.485,9,-8.325,1,0.2319999999999999,0.6990000000000001,0.00838,0.1,0.8240000000000001,145.191,197773,2006,2006-05-26
338183,71CiAi0mbYdhHZpjlALqgS,Merci de votre amitié,Ma vie en chansons Signé Georges Hamel,2Dc6a7CmpBT9TYNF6M8fPk,['Georges Hamel'],['0yadTrXguTyRUdZ3PKwz0M'],11,1,False,0.743,0.607,10,-7.521,1,0.0274,0.583,0.000101,0.0993,0.927,100.801,162160,2008,2008-02-05
155678,3bwA14w3uBzoh0WEG3Djd6,Don't Be A Stranger - Live,The Very Best Of,2Q6uzVvrFqCGGtPRmiRQKT,['Fairground Attraction'],['1sAkg8871iPVI0wPbOfIZa'],18,1,False,0.625,0.397,9,-10.857,0,0.032,0.769,1.33e-05,0.956,0.499,120.819,203227,2004,2004-08-09
155158,56kbsvPb3Vokg2d9pDK2aV,It Goes,Yeats Is Greats: The Speakers Sing the Poems of William Butler Yeats (and more),1sWjg8hscuPGUkcjnzEs77,['The Speakers'],['502BddeVQ6sidUe1BionXF'],5,1,False,0.12,0.2019999999999999,2,-15.675,1,0.0367,0.8909999999999999,0.413,0.066,0.0777,70.812,127680,2005,2005-01-01
837490,1Wg502aaW9u1jneSsnWmMb,The Pickpockets (Live),Live in Perth,2ygr5lpnjRslgiS2vRtps6,['Jim Malcolm'],['4RQYM5iZrAKM6MYPs7avdd'],9,1,False,0.474,0.369,10,-17.732,1,0.413,0.862,7.48e-05,0.7140000000000001,0.3670000000000001,161.062,324360,2015,2015-11-01
909480,43MtE7Aos902lZvsSYO1DJ,Visitation,Discovery,4fttvlIE7BjuErIgQj6dTT,['Micharl Cochrane'],['4TSxVY9hOSqtqOx0SjOfoK'],2,1,False,0.63,0.1009999999999999,5,-24.341,1,0.0533,0.354,0.00157,0.144,0.532,78.89,310827,2014,2014-08-10
510143,4Vys1otalFp92Ub1LMBnlY,Finito La Musica,Fresh Conundrums,3H13rKXwP4Xz0McmpFMwpj,['Monstrom'],['6Kw6Pv6UzHlFWCss8L4se3'],9,1,False,0.479,0.496,0,-13.892,0,0.1969999999999999,0.528,0.00954,0.0427,0.762,165.545,113778,2012,2012-08-01
59038,12bEE50kSvZkIRDjl0kXYc,Betty Jo,The Best of Don Ray Records,2qvM4xCuy4e4bDbnt4VCWj,['Don Armstrong'],['6UFhFy5kBSLYY3kKjNegH9'],6,1,False,0.3879999999999999,0.477,2,-7.004,1,0.0305,0.8809999999999999,0.0246,0.0912,0.27,97.275,178712,2019,2019-12-20
915047,3xQnDOIMbJUFbPcMsQgv6d,Bite Bite Barracuda,Boss Sounds From the Beach and Strip,77zyydJ9HRIsI5PrIoRQjO,['The Knickerbockers'],['3L13VZ9rCpmR1p7p6A2WGu'],4,1,False,0.6629999999999999,0.447,0,-15.639,1,0.0352,0.578,0.00273,0.11,0.7120000000000001,156.058,132067,1989,1989-01-17
357652,34wafWL4wcFYpWVeHLSqR5,Bassa Dance,Odyssey,6fXfMf2L6bR5qPOO5do7TL,"['Traditional - French', 'The New World Renaissance Band']","['2gGPHh9RJRypgtfPf1qU6k', '4p9TN6xaOOj1CmkBrKD3te']",6,1,False,0.4589999999999999,0.293,9,-15.874,1,0.0431,0.76,0.89,0.122,0.0892,125.39,222773,1996,1996-01-01
1002972,4dl7NQiqKVhaxvkyYrPmfh,I Love Baby Cheesy - Electric Cheddar Remix,"Rewritten Histories, Vol. 2: 1996 - 2001",2kUqIJ5H5M8LYyA5wy7I0L,"['Banco De Gaia', 'Wayward Soul']","['5Z8mapYkacgBN46TkH9L3M', '5SI5GA27BmpPVuaLHkRknP']",10,1,False,0.6940000000000001,0.913,7,-6.077000000000001,1,0.0638,0.0009,0.9,0.122,0.305,132.02,381360,2012,2012-02-28
509014,17bGMOSGXjGZh446Jh64Si,Stupid Stupid,"Danish Electro, Vol. 1",0vQ0JNHOOtxyF5eGIOKz9t,['Navy Bruise'],['2al9LScoWlCAZ32U2GiNE2'],9,1,False,0.631,0.684,7,-9.165,1,0.0837,0.00583,0.657,0.111,0.142,187.954,183830,2018,2018-02-01
736951,23fZMJjaf2u7JM7NRFmWAO,Say Goodbye,Joe Gil,3cZ1plRDYawW7Fm4jEMtFq,['Joe Gil'],['2xPjzvlRo2NgaW89XrH5lF'],3,1,False,0.33,0.564,5,-5.581,0,0.0324,0.387,2.96e-06,0.139,0.511,109.997,220222,2010,2010-09-18
1078744,4dVsPB1llqhy227R073vbl,Hi Beck,Jazz At Storyville,0ptEr8HnMPQSoDe7NrgX6Z,['Lee Konitz'],['4YNvbaOaqp5pzC5US5t48k'],2,1,False,0.537,0.265,0,-17.475,1,0.0616,0.937,0.907,0.314,0.716,123.345,458240,1984,1984-03-31
536539,7rJH0afvwR2ISLGakoqYWp,"Il barbiere di Siviglia (The Barber of Seville): Ma, signor...(Bartolo)",Rossini (The Best Of),2f4bLHwSpp99FL6etNhMP2,"['Gioachino Rossini', 'Sonia Ganassi', 'Angelo Romero', 'Roberto Servile', 'Budapest Failoni Chamber Orchestra', 'Will Humburg']","['0roWUeP7Ac4yK4VN6L2gF4', '0HRnAb829f5omFs4moz3oX', '70qQMKZ7T4ef2CjQauRxr1', '5p82J9nrI5NT6d0ViMjdSt', '7w6HlJdHl67FIA8WGHCoNX', '0O6wGAZW7I1Fn59kpxrjCv']",10,1,False,0.457,0.479,0,-14.375,1,0.0691,0.957,0.00162,0.284,0.3979999999999999,110.819,285133,1997,1997-05-16
